V2Ray 4.18.0 (Po) 20190228
A unified platform for anti-censorship.
Failed to start v2ray.com/core/app/proxyman/inbound: failed to listen TCP on 1085 > v2ray.com/core/transport/internet: failed to listen on address: 0.0.0.0:1085 > listen tcp 0.0.0.0:1085: bind: address already in use
V2Ray 4.18.0 (Po) 20190228
A unified platform for anti-censorship.
2019/03/18 22:20:30 [Warning] v2ray.com/core: V2Ray 4.18.0 started
2019/03/18 22:20:34 tcp:127.0.0.1:56637 accepted tcp:www.youtube.com:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56642 accepted tcp:fonts.googleapis.com:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56644 accepted tcp:yt3.ggpht.com:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56647 accepted tcp:yt3.ggpht.com:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56649 accepted tcp:fonts.gstatic.com:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56652 accepted tcp:googleads.g.doubleclick.net:443 
2019/03/18 22:20:35 tcp:127.0.0.1:56655 accepted tcp:www.google.com:443 
2019/03/18 22:20:38 tcp:127.0.0.1:56664 accepted tcp:cdnjs.cloudflare.com:443 
2019/03/18 22:20:38 tcp:127.0.0.1:56665 accepted tcp:unpkg.com:443 
2019/03/18 22:20:57 tcp:127.0.0.1:56737 accepted tcp:mtalk.google.com:443 
2019/03/18 22:21:16 tcp:127.0.0.1:56807 accepted tcp:clients4.google.com:443 
2019/03/18 22:21:55 tcp:127.0.0.1:56935 accepted tcp:gateway-carry.icloud.com:443 
2019/03/18 22:21:57 tcp:127.0.0.1:56946 accepted tcp:config.pinyin.sogou.com:80 
2019/03/18 22:22:00 tcp:127.0.0.1:56957 accepted tcp:setup.icloud.com:443 
2019/03/18 22:25:49 tcp:127.0.0.1:57709 accepted tcp:unix.stackexchange.com:443 
2019/03/18 22:25:49 tcp:127.0.0.1:57712 accepted tcp:unix.stackexchange.com:443 
